Active Ingredient,NDA #,Product Name,Company,Approval Date,P or E,Date Added,Patent Number,Expiration Date,Codes,Strengths,Delist Request,Orig,Analysis,Added strength,# added strengths,Applied to UC,2nd add,Comments
Abacavir Sulfate,20978,Ziagen*,VIIV HLTHCARE,,E,pre-2005,,8/2/07,D-40,1,,,Pre-2005,,null,,,
Abacavir Sulfate,20978,Ziagen,VIIV HLTHCARE,,P,6/28/7,6641843,2/4/20,DP,1,,No,P:DP,,null,,,
Abacavir Sulfate,20978,Ziagen,VIIV HLTHCARE,,P,11/28/10,6641843,2/4/19,DP,1,,No,PTDecrease,,null,,,
Abacavir Sulfate,20978,Ziagen,VIIV HLTHCARE,,P,11/28/10,6641843*PED,8/4/19,,1,,No,P:PED,,null,,,
Abacavir Sulfate,20978,Ziagen,VIIV HLTHCARE,,E,3/28/15,,3/23/18,D-147,1,,No,D,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,8/22/14,E,8/28/14,,8/12/18,NCE,1,,Yes,NCE,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,9/28/14,5905082,5/18/16,"DS, DP",1,,Yes,P:DS/DP,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,9/28/14,6294540,5/14/18,"DS, DP, U-1572",1,,Yes,P:DS/DP/UCnew,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,9/28/14,6417191,3/28/16,"DP, U-1572",1,,Yes,P:DP/UC,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,9/28/14,8129385,10/5/27,"DS, DP",1,,Yes,P:DS/DP,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,9/28/14,5905082*PED,11/18/16,,1,,Yes,P:PED,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,9/28/14,6294540*PED,11/14/18,,1,,Yes,P:PED,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,2/28/15,6417191,3/28/16,"DP, U-1572",1,,No change,No change,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,2/28/15,6417191*PED,9/28/16,,1,,No,P:PED,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,2/28/16,9242986,10/8/29,"DS, DP",1,,,P:DS/DP,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,P,3/28/16,9242986,12/8/29,"DS, DP",1,,,DS/DP,,null,,,
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,205551,Triumeo,VIIV HLTHCARE,,E,11/28/17,,3/23/18,D-147,1,,,,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom*,VIIV HLTHCARE,8/2/04,P,pre-2005,5034394,12/18/11,"DS, DP",1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom*,VIIV HLTHCARE,,P,pre-2005,5047407,11/17/09,"DS, DP, U-257",1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom*,VIIV HLTHCARE,,P,pre-2005,5089500,6/26/09,U-257,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom*,VIIV HLTHCARE,,P,pre-2005,5905082,5/18/16,"DS, DP",1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom*,VIIV HLTHCARE,,P,pre-2005,6180639,1/30/18,"DP, U-257",1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom*,VIIV HLTHCARE,,P,pre-2005,6294540,5/14/18,"DS, DP, U-257",1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom*,VIIV HLTHCARE,,P,pre-2005,6417191,3/28/16,"DP, U-257",1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,5034394,12/18/11,"DS, DP",1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,5047407,11/17/09,"DS, DP, U-257",1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,5089500,6/26/09,U-257,1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,5905082,5/18/16,"DS, DP",1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,6294540,5/14/18,"DS, DP, U-257",1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,5034394*PED,6/18/12,,1,,No,P:PED,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,5047407*PED,5/17/10,,1,,No,P:PED,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,5089500*PED,12/26/09,,1,,No,P:PED,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,5905082*PED,11/18/16,,1,,No,P:PED,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/6,6294540*PED,11/14/18,,1,,No,P:PED,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,E,2/28/6,,8/2/07,D-40,1,,No,D,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,5/28/7,7119202,2/8/09,DS,1,,No,P:DS,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,5/28/7,7119202*PED,8/8/09,,1,,No,P:PED,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/15,6417191,3/28/16,"DP, U-257",1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine,21652,Epzicom,VIIV HLTHCARE,,P,2/28/15,6417191*PED,9/28/16,,1,,No,P:PED,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,11/14/00,P,pre-2005,4724232,9/17/05,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,4818538,9/17/05,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,4828838,9/17/05,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,4833130,9/17/05,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,4837208,9/17/05,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,5034394,6/26/09,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,5047407,11/17/09,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,5089500,6/26/09,U-248,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,5905082,5/18/16,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,6180639,1/30/18,U-248,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,6294540,5/14/18,U-65,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,6417191,3/28/16,U-248,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,5034394*PED,12/26/09,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,5047407*PED,5/17/10,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,5089500*PED,12/26/09,U-248,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,5905082*PED,11/18/16,,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,6180639*PED,7/30/18,U-248,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir*,VIIV HLTHCARE,,P,pre-2005,6294540*PED,11/14/18,U-65,1,,,Pre-2005,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,4724232,9/17/05,U-248,1,,No,UC,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,4818538,9/17/05,DP,1,,No,DP,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,4828838,9/17/05,DP,1,,No,DP,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,4833130,9/17/05,U-248,1,,No,UC,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,4837208,9/17/05,U-248,1,,No,UC,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,5034394,6/26/09,"DS, DP",1,,No,DS/DP,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,5047407,11/17/09,"DS, DP, U-248",1,,No,DS/DP/UC,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,5905082,5/18/16,"DS, DP, U-248",1,,No,DS/DP/UC,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,6180639,1/30/18,"DP, U-248",1,,No,DP,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,6294540,5/14/18,"DS, DP, U-65",1,,No,DS/DP,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,6417191,3/28/16,"DP, U-248",1,,No,DP,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,5034394*PED,12/26/09,,1,,No change,No change,,null,,,"No change in expiration date, but is technically a new PED because use codes were added to the patent"
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,5047407*PED,5/17/10,,1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,5905082*PED,11/18/16,,1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,6180639*PED,7/30/18,U-248,1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/5,6294540*PED,11/14/18,U-65,1,,No change,No change,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,9/28/6,5034394,12/18/11,"DS, DP",1,,No,PTAorPTE,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,9/28/6,5034394*PED,6/18/12,,1,,No,P:PEDExtension,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/7,7119202,2/8/09,DS,1,,No,P:DS,,null,,,
Abacavir Sulfate; Lamivudine; Zidovudine,21205,Trizivir,VIIV HLTHCARE,,P,5/28/7,7119202*PED,8/8/09,,1,,No,P:PED,,null,,,
Abaloparatide,208743,Tymlos,RADIUS HEALTH INC,4/28/17,E,4/28/17,,4/28/22,NCE,1,,,,,null,,,
Abaloparatide,208743,Tymlos,RADIUS HEALTH INC,,P,5/28/17,7803770,3/26/28,U-2009,1,,,P:UCnew,,null,,,
Abaloparatide,208743,Tymlos,RADIUS HEALTH INC,,P,5/28/17,8148333,11/8/27,DP,1,,,P:DP,,null,,,
Abaloparatide,208743,Tymlos,RADIUS HEALTH INC,,P,5/28/17,8748382,10/3/27,U-2009,1,,,P:UC,,null,,,
Abarelix,21320,Plenaxis*,SPECIALITY EUROPEAN,11/25/03,P,pre-2005,5843901,12/1/15,"DS, DP",1,,,Pre-2005,,null,,,
Abarelix,21320,Plenaxis*,SPECIALITY EUROPEAN,,P,pre-2005,5968895,12/11/16,DP,1,,,Pre-2005,,null,,,
Abarelix,21320,Plenaxis*,SPECIALITY EUROPEAN,,P,pre-2005,6180608,12/11/16,"DP, U-549",1,,,Pre-2005,,null,,,
Abarelix,21320,Plenaxis*,SPECIALITY EUROPEAN,,P,pre-2005,6423686,6/7/15,DS,1,,,Pre-2005,,null,,,
Abarelix,21320,Plenaxis*,SPECIALITY EUROPEAN,,P,pre-2005,6455499,6/7/15,U-549,1,,,Pre-2005,,null,,,
Abarelix,21320,Plenaxis*,SPECIALITY EUROPEAN,,P,pre-2005,6699833,12/11/16,DP,1,,,Pre-2005,,null,,,
Abarelix,21320,Plenaxis*,SPECIALITY EUROPEAN,,E,pre-2005,,11/25/08,NCE,1,,,Pre-2005,,null,,,
Abemaciclib,208716,Verzenio,ELI LILLY AND CO,9/28/17,E,9/28/17,,9/28/22,NCE,"001, 002, 003, 004",,,,,null,,,
Abemaciclib,208716,Verzenio,ELI LILLY AND CO,,P,10/28/17,7855211,12/15/29,"DS, DP, U-2132","001, 002, 003, 004",,,P:DS/DP/UCnew,,null,,,
Abemaciclib,208716,Verzenio,ELI LILLY AND CO,,P,10/28/17,7855211,12/15/29,"DS, DP, U-2135","001, 002, 003, 004",,,DS/DP/UCnew,,null,,,
Abemaciclib,208716,Verzenio,ELI LILLY AND CO,,E,2/28/18,,2/26/21,I-768,"001, 002, 003, 004",,,,,null,,,
Abemaciclib,208716,Verzenio,ELI LILLY AND CO,,P,3/28/18,7855211,12/15/29,"DS, DP, U-2132","001, 002, 003, 004",,,DS/DP/UC,,null,,,
Abemaciclib,208716,Verzenio,ELI LILLY AND CO,,P,3/28/18,7855211,12/15/29,"DS, DP, U-2135","001, 002, 003, 004",,,DS/DP/UC,,null,,,
Abemaciclib,208716,Verzenio,ELI LILLY AND CO,,P,3/28/18,7855211,12/15/29,"DS, DP, U-2251","001, 002, 003, 004",,,DS/DP/UCnew,,null,,,
Abemaciclib,208716,Verzenio,ELI LILLY AND CO,,P,3/28/18,7855211,12/15/29,"DS, DP, U-1981",4,,,DS/DP/UCnew,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,4/28/11,E,4/28/11,,4/28/16,NCE,1,,Yes,NCE,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,5/28/11,5604213,2/18/14,"DS, DP, U-1126",1,,Yes,P:DS/DP/UCnew,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,12/28/12,5604213,2/18/14,"DS, DP, U-1314",1,,No,UCadditionalnew,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,12/28/12,5604213,2/18/14,"DS, DP, U-1126",1,,No change,No change,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,E,12/28/12,,12/10/15,I-663,1,,No,I,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,11/28/13,5604213,12/13/16,"DS, DP, U-1126",1,,No,PTAorPTE,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,11/28/13,5604213,12/13/16,"DS, DP, U-1314",1,,No change,Applied to other UC,,null,PTAorPTE,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,9/28/14,8822438,8/24/27,U-1579,1,,No,P:UCnew,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,9/28/14,8822438,8/24/27,U-1580,1,,No,UCsamemonthnew,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,8/28/17,8822438,8/24/27,U-1579,2,,,P:UCnew,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,8/28/17,8822438,8/24/27,U-1580,2,,,UCnew,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,2/28/18,8822438,8/24/27,U-1579,"001, 002",,,UC,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,2/28/18,8822438,8/24/27,U-1580,"001, 002",,,UC,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,P,2/28/18,8822438,8/24/27,U-2235,"001, 002",,,UCnew,,null,,,
Abiraterone Acetate,202379,Zytiga,JANSSEN BIOTECH,,E,2/28/18,,2/7/21,I-765,"001, 002",,,,,null,,,
Abiraterone Acetate,210308,Yonsa,SUN PHARMA GLOBAL,5/22/18,P,7/28/18,9889144,3/17/34,DP,1,,,P:DP,,null,,,
Acalabrutinib,210259,Calquence,ASTRAZENECA,10/31/17,E,10/28/17,,10/31/22,NCE,1,,,,,null,,,
Acalabrutinib,210259,Calquence,ASTRAZENECA,,P,11/28/17,9290504,7/11/32,"DS, DP",1,,,P:DS/DP,,null,,,
Acalabrutinib,210259,Calquence,ASTRAZENECA,,P,11/28/17,9758524,7/11/32,U-2145,1,,,P:UCnew,,null,,,
Acalabrutinib,210259,Calquence,ASTRAZENECA,,P,11/28/17,9796721,7/1/36,"DP, U-2145",1,,,P:DP/UC,,null,,,
Acalabrutinib,210259,Calquence,ASTRAZENECA,,P,4/28/18,7459554,11/24/26,DS,1,,,P:DS,,null,,,
Acalabrutinib,210259,Calquence,ASTRAZENECA,,E,5/28/18,,10/31/24,ODE-175,1,,,ODE,,null,,,
Acamprosate Calcium,21431,Campral*,FOREST LABS,7/29/04,E,pre-2005,,7/29/09,NCE,1,,,Pre-2005,,null,,,
Acarbose,20482,Precose*,BAYER HLTHCARE,9/6/95,P,pre-2005,4904769,2/27/07,,"001, 002, 004",,,Pre-2005,,null,,,
Acarbose,20482,Precose,BAYER HLTHCARE,,P,4/28/7,4904769,9/6/09,,"001, 002, 004",,No,PTAorPTE,,null,,,
Acarbose,20482,Precose,BAYER HLTHCARE,,P,3/28/8,4904769,9/6/09,,"001, 002, 004",Y,No,DelistRequest,,null,,,
Acetaminophen,19872,Tylenol (Caplet)*,J AND J CONSUMER INC,6/8/94,P,pre-2005,4820522,7/27/07,,1,,,Pre-2005,,null,,,
Acetaminophen,19872,Tylenol (Caplet)*,J AND J CONSUMER INC,,P,pre-2005,4968509,11/6/07,,1,,,Pre-2005,,null,,,
Acetaminophen,19872,Tylenol (Caplet)*,J AND J CONSUMER INC,,P,pre-2005,5004613,7/27/07,,1,,,Pre-2005,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,11/2/10,P,11/28/10,6028222,8/5/17,DP,1,,Yes,P:DP,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,11/28/10,6992218,6/6/21,DP,1,,Yes,P:DP,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,E,11/28/10,,11/2/13,NP,1,,Yes,NP,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,6/28/16,6028222,8/5/17,DP,1,,,P:DP,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,6/28/16,6992218,6/6/21,DP,1,,,P:DP,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,6/28/16,6028222*PED,2/5/18,,1,,,P:PED,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,6/28/16,6992218*PED,12/6/21,,1,,,P:PED,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,7/28/16,9399012,9/11/31,U-1882,1,,,P:UCnew,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,7/28/16,9399012*PED,3/11/32,,1,,,P:PED,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,8/28/16,9399012,9/11/31,U-1882,1,,,UC,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,8/28/16,9399012*PED,3/11/32,,1,,,P:PED,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,E,1/28/17,,1/27/20,M-196,1,,,,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,E,1/28/17,,7/27/20,PED,1,,,,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,5/28/17,9610265,11/13/28,U-2000,1,,,P:UCnew,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,4/28/18,9399012,9/11/31,U-2261,1,,,P:UCnew,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,4/28/18,9399012,9/11/31,U-2262,1,,,UCnew,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,4/28/18,9610265,11/13/28,U-2263,1,,,UCnew,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,4/28/18,9399012*PED,3/11/32,,1,,,P:PED,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,6/28/18,9987238,11/13/28,U-2261,1,,,P:UC,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,7/28/18,9610265,11/13/28,U-2263,1,,,UC,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,7/28/18,9987238,11/13/28,U-2261,1,,,UC,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,7/28/18,9610265*PED,5/13/29,,1,,,P:PED,,null,,,
Acetaminophen,22450,Ofirmev,MALLINCKRODT HOSP,,P,7/28/18,9987238*PED,5/13/29,,1,,,P:PED,,null,,,
Acetaminophen; Aspirin; Caffeine,20802,Excedrin (Migraine)*,GLAXOSMITHKLINE CONS,1/14/98,P,pre-2005,4943565,7/24/07,,1,,,Pre-2005,,null,,,
Acetaminophen; Aspirin; Caffeine,20802,Excedrin (Migraine)*,GLAXOSMITHKLINE CONS,,P,pre-2005,5972916,7/14/17,U-296,1,,,Pre-2005,,null,,,
Acetaminophen; Benzhydrocodone Hydrochloride,208653,Apadaz,KVK TECH INC,2/23/18,P,3/28/18,8461137,2/22/31,"DS, DP",1,,,P:DS/DP,,null,,,
Acetaminophen; Benzhydrocodone Hydrochloride,208653,Apadaz,KVK TECH INC,,P,3/28/18,8748413,7/1/30,"DS, DP",1,,,P:DS/DP,,null,,,
Acetaminophen; Benzhydrocodone Hydrochloride,208653,Apadaz,KVK TECH INC,,P,3/28/18,8828978,7/1/30,DP,1,,,P:DP,,null,,,
Acetaminophen; Benzhydrocodone Hydrochloride,208653,Apadaz,KVK TECH INC,,P,3/28/18,9132125,7/1/30,"DS, DP, U-2249",1,,,P:DS/DP/UCnew,,null,,,
Acetaminophen; Benzhydrocodone Hydrochloride,208653,Apadaz,KVK TECH INC,,P,3/28/18,9549923,7/1/30,"DS, DP",1,,,P:DS/DP,,null,,,
Acetaminophen; Oxycodone Hydrochloride,204031,Xartemis XR,MALLINCKRODT INC,3/11/14,P,3/28/14,6488962,6/20/20,DP,1,,Yes,P:DP,,null,,,
Acetaminophen; Oxycodone Hydrochloride,204031,Xartemis XR,MALLINCKRODT INC,,P,3/28/14,7976870,6/1/27,U-1498,1,,Yes,P:UCnew,,null,,,
Acetaminophen; Oxycodone Hydrochloride,204031,Xartemis XR,MALLINCKRODT INC,,P,3/28/14,8372432,3/11/29,"DP, U-1499",1,,Yes,P:DP/UCnew,,null,,,
