1 NDA #,2 Ingredient(s),3 Company,4 Product Name,5 Approval Date,6 First Cliff Expiration Date,7 Earliest Prot Date,8 Latest Prot Date,9 Additional Prot Time,10 Months of Additional Prot Time,11 Num Protections,12 Unique Patents,13 Orphan Drug Excl,14 Extensions,15 Num Patent Extensions,16 Num Exculsivity Extensions
18340,Flunisolide,ROCHE PALO,Aerobid*,8/17/1984,6/12/2007,6/12/2007,6/12/2007,0 years0 months,0,1,1,0,0,0,0
18343,Captopril,PAR PHARM,Capoten*,4/6/1981,8/24/2010,8/24/2010,8/24/2010,0 years0 months,0,1,1,0,0,0,0
18612,Nicotine Polacrilex,GLAXOSMITHKLINE,Nicorette,1/13/1984,4/30/2028,4/30/2028,4/30/2028,0 years0 months,0,1,1,0,0,0,0
18613,Malathion,TARO PHARM INDS LTD,Ovide,8/2/1982,2/1/2027,8/14/2026,2/1/2027,0 years6 months,6,2,1,0,0,0,0
18651,Dronabinol,ABBVIE,Marinol*,5/31/1985,2/26/2011,2/26/2011,2/26/2011,0 years0 months,0,1,1,0,0,0,0
18658,Dextromethorphan Polistirex,RB HLTH,Delsym,10/8/1982,4/16/2017,4/16/2017,4/16/2017,0 years0 months,0,1,1,0,0,0,0
18662,Isotretinoin,HOFFMANN LA ROCHE,Accutane*,5/7/1982,11/2/2005,5/2/2005,11/2/2005,0 years6 months,6,2,0,0,0,0,0
18705,Nitroglycerin,POHL BOSKAMP,Nitrolingual Pumpspray*,10/31/1985,2/16/2010,2/16/2010,3/14/2028,18 years1 months,217,4,1,0,2,2,0
18708,Quazepam,GALT PHARMS,Doral,12/27/1985,1/3/2028,1/3/2028,6/3/2028,0 years5 months,5,2,1,0,1,1,0
18723,Divalproex Sodium,ABBVIE,Depakote*,3/10/1983,1/29/2008,1/29/2008,7/29/2009,1 years6 months,18,6,1,0,1,1,0
18731,Buspirone Hydrochloride,BRISTOL MYERS SQUIBB,Buspar*,9/29/1986,1/19/2005,7/19/2004,1/19/2005,0 years6 months,6,4,0,0,0,0,0
18780,Insulin Human,LILLY,Humulin R,10/28/1982,3/25/2014,3/25/2014,8/9/2024,10 years5 months,125,2,1,0,0,0,0
18781,Insulin Susp Isophane Recombinant Human,LILLY,Humalin N,10/28/1982,8/9/2024,8/9/2024,8/9/2024,0 years0 months,0,1,1,0,0,0,0
18859,Ribavarin,VALEANT PHARM INTL,Virazole*,12/31/1985,11/21/2017,11/21/2017,11/21/2017,0 years0 months,0,1,1,0,0,0,0
18874,Calcitirol,ABBVIE,Calcijex*,9/25/1986,2/2/2020,11/16/2004,2/2/2020,15 years3 months,183,8,1,0,0,0,0
18936,Fluoxetine Hydrochloride,ELI LILLY AND CO,Sarafem ; Prozac*,12/29/1987,5/20/2008,6/12/2005,11/1/2017,12 years5 months,149,14,1,0,2,2,0
18938,Desmopressin Acetate,FERRING PHARMS INC,DDAVP*,3/30/1984,6/29/2013,6/29/2013,6/29/2013,0 years0 months,0,2,1,0,0,0,0
18998,Enalapril Maleate,BAUSCH,Vasotec*,12/24/1985,8/13/2004,8/13/2004,8/13/2004,0 years0 months,0,1,0,0,0,0,0
19034,Hydromorphone Hydrochloride,FRESENIUS KABI USA,Dilaudid ; Dilaudid-HP,1/11/1984,11/9/2020,11/9/2020,3/12/1934,13 years4 months,160,6,1,0,1,1,0
19057,Terazosin Hydrochloride,ABBOTT,Hytrin*,8/7/1987,4/29/2013,6/29/2010,4/29/2013,2 years10 months,34,4,1,0,0,0,0
19090,Ranitidine Hydrochloride,TELIGENT,Zantac*,10/19/1984,11/11/2004,11/11/2004,11/11/2004,0 years0 months,0,1,1,0,0,0,0
19111,Chlorpheniramine Polistirex; Hydrocodone Polistirex,UCB INC,Tussionex*,12/31/1987,8/9/2005,8/9/2005,8/9/2005,0 years0 months,0,1,1,0,0,0,0
19297,Mitoxantrone Hydrochloride,EMD SERONO,Novantrone*,12/23/1987,10/13/2007,6/13/2005,10/13/2007,2 years4 months,28,5,1,2,0,0,0
19304,Fenofibrate,ABBVIE,Tricor (Micronized)*,12/31/1993,1/19/2009,1/19/2009,1/19/2009,0 years0 months,0,1,1,0,0,0,0
19384,Norfloxacin,MERCK,Noroxin*,10/31/1986,1/22/2005,1/22/2005,1/22/2005,0 years0 months,0,1,1,0,0,0,0
19385,Pergolide Mesylate,VALEANT PHARM INTL,Permax*,12/30/1988,10/19/2009,10/26/2007,10/19/2009,2 years0 months,24,2,1,0,0,0,0
19386,Esmolol Hydrochloride,BAXTER HLTHCARE,Brevibloc*,12/31/1986,7/12/2021,5/21/2008,7/12/2021,13 years2 months,158,6,1,0,0,0,0
19415,Urofollitropin,SERONO,Fertinex*,9/18/1986,6/16/2015,7/26/2004,6/16/2015,10 years11 months,131,4,1,0,0,0,0
19430,Epinephrine,MYLAN SPECIALITY LP,Epipen E Z Pen Jr ; Epipen ; Epipen E Z Pen ; Epipen Jr.,12/22/1987,9/11/2025,9/11/2025,9/11/2025,0 years0 months,0,5,1,0,0,0,0
19439,Potassium Chloride,SCHERING,K-Dur 10; K-Dur 20*,6/13/1986,9/5/2006,9/5/2006,9/5/2006,0 years0 months,0,1,1,0,0,0,0
19452,Fluocinolone Acetonide,HILL DERMAC,Derma-Smoothe/FS*,2/3/1988,10/10/2004,10/10/2004,12/12/2010,6 years2 months,74,2,0,0,1,0,1
19471,Diltiazem Hydrochloride,BIOVAIL,Cardizem SR*,1/23/1989,1/26/2005,1/26/2005,1/26/2005,0 years0 months,0,1,1,0,0,0,0
19536,Propranolol Hydrochloride,WYETH AYERST,Inderal*,12/12/1986,7/19/2005,7/19/2005,7/19/2005,0 years0 months,0,1,1,0,0,0,0
19537,Ciprofloxacin Hydrochloride,BAYER HLTHCARE,Cipro*,10/22/1987,8/15/2011,3/25/2007,8/15/2011,4 years5 months,53,4,1,0,0,0,0
19558,Lisinopril,MERCK,Prinivil*,12/29/1987,11/29/2006,5/29/2006,11/29/2006,0 years6 months,6,2,0,0,0,0,0
19574,Chlorthalidone,CASPER PHARMA LLC,Thalitone*,12/20/1988,6/12/2007,6/12/2007,6/12/2007,0 years0 months,0,1,1,0,0,0,0
19591,Mefloquine Hydrochloride,ROCHE,Lariam*,5/2/1989,10/1/2004,10/1/2004,10/1/2004,0 years0 months,0,1,1,0,0,0,0
19593,Ranitidine Hydrochloride,TELIGENT,Zantac in Plastic Container*,12/17/1986,11/11/2004,11/11/2004,11/11/2004,0 years0 months,0,1,1,0,0,0,0
19596,Gadopentetate Dimeglumine,BAYER HLTHCARE,Magnevist*,6/2/1988,10/1/2013,11/8/2011,10/1/2013,1 years11 months,23,2,1,0,0,0,0
19599,Naftifine Hydrochloride,SEBELA IRELAND LTD,Naftin,2/29/1988,1/13/2015,1/13/2015,11/10/2019,4 years10 months,58,2,0,0,1,0,1
19604,Albuterol Sulfate,MURO,Volmax*,12/23/1992,10/11/2005,6/14/2005,10/11/2005,0 years4 months,4,3,1,0,0,0,0
19614,Verapamil Hydrochloride,RECRO GAINESVILLE,Verelan*,5/29/1990,6/19/2007,6/19/2007,6/19/2007,0 years0 months,0,2,1,0,0,0,0
19617,Dinoprostone,PHARMACIA AND UPJOHN,Prepidil*,12/9/1992,7/14/2004,7/14/2004,7/14/2004,0 years0 months,0,1,1,0,0,0,0
19618,Mesalamine,MYLAN SPECIALITY LP,Sfrowasa,12/24/1987,7/24/2027,7/24/2027,7/24/2027,0 years0 months,0,1,1,0,0,0,0
19625,Mometasone Furoate,MERCK SHARP DOHME,Elocon*,5/6/1987,4/2/2007,10/2/2006,4/19/2016,9 years6 months,114,3,1,0,1,0,1
19627,Propofol,FRESENIUS KABI USA,Dipravan*,10/2/1989,9/22/2015,8/20/2004,6/1/2025,20 years10 months,250,11,1,0,1,1,0
19640,Somatropin Recombinant,LILLY,Humatrope*,10/16/1986,7/25/2006,7/25/2006,3/18/2014,7 years8 months,92,6,0,1,3,1,2
19643,Lovastatin,MERCK,Mevacor*,8/31/1987,8/14/2005,2/14/2005,8/14/2005,0 years6 months,6,2,0,0,0,0,0
19651,Mesalamine,APIL,Asacol*,1/31/1992,7/30/2013,7/30/2013,7/30/2013,0 years0 months,0,2,1,0,0,0,0
19653,Ethinyl Estradiol; Norgestimate,JANSSEN PHARMS,"Ortho Cyclen-21, Ortho Cyclen-28",12/29/1989,11/13/2008,5/13/2008,11/13/2008,0 years6 months,6,2,0,0,0,0,0
19655,Zidovudine,VIIV HLTHCARE,Retrovir*,3/19/1987,9/17/2005,9/17/2005,9/17/2005,0 years0 months,0,5,1,0,0,0,0
19658,Loratadine,BAYER HEALTHCARE LLC,Claritin*,4/12/1993,3/15/2009,9/15/2008,3/15/2009,0 years6 months,6,2,1,0,0,0,0
19660,Nedocromil Sodium,KING PHARMS LLC,Tilade*,12/30/1992,10/2/2006,7/26/2005,10/2/2006,1 years3 months,15,2,1,0,0,0,0
19667,Octreotide Acetate,NOVARTIS,Sandostatin*,10/21/1988,5/19/2015,7/8/2008,11/19/2015,7 years4 months,88,5,1,0,1,1,0
19670,Loratidine; Pseudoephedrine Sulfate,BAYER HEALTHCARE LLC,Claritin-D*,11/14/1994,3/15/2009,9/15/2008,3/15/2009,0 years6 months,6,2,1,0,0,0,0
19672,Brompheniramine Maleate; Pseudoephedrine Hydrochloride,ALZA,Efidac 24 Pseudoephedrine HCL/Brompheniramine Maleate*,3/29/1996,3/14/2006,3/14/2006,3/14/2006,0 years0 months,0,3,1,0,0,0,0
19675,Ranitidine Hydrochloride,GLAXO GRP LTD,Zantac*,12/30/1988,5/26/2009,11/11/2004,5/26/2009,4 years6 months,54,3,1,0,0,0,0
19677,Atropine Sulfate; Edrophonium Chloride,MYLAN INSTITUTIONAL,Enlon-Plus*,11/6/1991,8/28/2007,8/28/2007,8/28/2007,0 years0 months,0,1,1,0,0,0,0
19678,Atropine Sulfate; Edrophonium Chloride,MYLAN INSTITUTIONAL,Enlon-Plus*,11/6/1991,8/28/2007,8/28/2007,8/28/2007,0 years0 months,0,1,1,0,0,0,0
19680,Divalproex Sodium,ABBVIE,Depakote*,9/12/1989,1/29/2008,1/29/2008,9/24/2011,3 years8 months,44,8,1,0,2,1,1
19684,Nifedipine,PFIZER,Procardia XL*,9/6/1989,11/23/2010,11/23/2010,11/23/2010,0 years0 months,0,1,1,0,0,0,0
19697,Ethinyl Estradiol; Norgestimate,JANSSEN PHARMS,Ortho Tri-Cyclen,7/3/1992,11/13/2008,5/13/2008,11/13/2008,0 years6 months,6,2,0,0,0,0,0
19700,Ketorolac Tromethamine,ALLERGAN,Acular*,11/9/1992,11/5/2009,2/8/2005,11/5/2009,4 years9 months,57,3,1,0,0,0,0
19715,Olsalazine Sodium,MYLAN SPECIALITY LP,Dipentum*,7/31/1990,7/31/2004,7/31/2004,7/31/2004,0 years0 months,0,1,1,0,0,0,0
19716,Betamethasone Dipropionate,MERCK SHARP DOHME,Diprolene*,8/1/1988,5/21/2007,5/21/2007,5/21/2007,0 years0 months,0,1,1,0,0,0,0
19717,Insulin Recombinant Human; Insulin Susp Isophane Recombinant Human,LILLY,Humulin 70/30 ; Humulin 70/30 Pen,4/25/1989,8/9/2024,8/9/2024,8/9/2024,0 years0 months,0,1,1,0,0,0,0
19721,Somatropin Recombinant,NOVO NORDISK INC,Norditropin*,5/8/1995,5/27/2014,5/27/2014,5/27/2014,0 years0 months,0,1,1,0,0,0,0
19722,Cyanocobalamin,PAR PHARM,Nascobal*,11/5/1996,4/16/2005,4/16/2005,4/16/2005,0 years0 months,0,1,1,0,0,0,0
19726,Goserelin Acetate,TERSERA THERAPS LLC,Zoladex*,12/29/1989,11/22/2011,8/30/2005,4/13/2022,16 years8 months,200,5,1,0,1,1,0
19732,Leuprolide Acetate,ABBVIE ENDOCRINE INC,Lupron Depot*,1/26/1989,5/20/2014,11/1/2004,12/13/2016,12 years1 months,145,13,1,0,1,1,0
19734,Nicardipine Hydrochloride,CHIESI USA INC,Cardene ; Cardene in 0.83% Sodium Chloride in Plastic Container ; Cardene in 0.86% Sodium Chloride in Plastic Container ; Cardene in 4.8% Dextrose in Plastic Container ; Cardene in 5.0% Dexstrose in Plastic Container*,1/30/1992,11/17/2009,11/14/2006,12/26/2027,21 years1 months,253,7,1,0,1,1,0
19737,Metronidazole,GALDERMA LABS LP,Metrogel*,11/22/1988,6/6/2006,6/6/2006,6/6/2006,0 years0 months,0,1,1,0,0,0,0
19746,Chlorpheniramine Maleate,ALZA,Epidac 24 Chlorpheniramine Maleate*,11/18/1994,8/15/2006,8/15/2006,8/15/2006,0 years0 months,0,1,1,0,0,0,0
19758,Clozapine,HERITAGE LIFE,Clozaril*,9/26/1989,12/18/2005,12/18/2005,12/18/2005,0 years0 months,0,1,0,0,0,0,0
19762,Testosterone,ALZA,Testoderm*,10/12/1993,8/15/2016,11/3/2004,8/15/2016,11 years9 months,141,4,1,0,0,0,0
19763,Ifosamide / Ifosfamide; Mesna,BAXTER HLTHCARE,Ifex ;  Ifex/Mesnex Kit*,8/14/1987,3/3/2008,3/3/2008,3/3/2008,0 years0 months,0,1,1,0,0,0,0
19764,Somatropin Recombinant,EMD SERONO,Saizen*,10/8/1996,8/26/2007,8/26/2007,4/27/2016,8 years8 months,104,3,0,0,1,1,0
19766,Simvastatin,MSD MERCK CO,Zocor*,12/23/1991,6/23/2006,10/18/2005,11/26/2009,4 years1 months,49,9,1,0,1,1,0
19771,Ibuprofen; Pseudoephedrine Hydrochloride,PFIZER,Advil Cold and Sinus*,9/19/1989,10/9/2004,10/9/2004,10/9/2004,0 years0 months,0,1,1,0,0,0,0
19777,Lisinopril,ALVOGEN,Zestril*,5/19/1988,11/29/2006,5/29/2006,11/29/2006,0 years6 months,6,2,0,0,0,0,0
19779,Apraclonidine Hydrochloride,NOVARTIS,Iopidine*,12/31/1987,5/18/2010,5/18/2010,5/18/2010,0 years0 months,0,1,1,0,0,0,0
19785,Technetium TC-99M Sestamibi Kit,LANTHEUS MEDCL,Cardiolite*,12/21/1990,1/29/2008,12/21/2004,10/30/2011,6 years10 months,82,11,1,0,2,1,1
19786,Metoprolol Fumurate,NOVARTIS,Lopressor*,12/27/1989,1/9/2007,1/9/2007,1/9/2007,0 years0 months,0,1,1,0,0,0,0
19787,Amlodipine Besylate,PFIZER,Norvasc*,7/31/1992,9/25/2007,7/31/2006,9/28/2008,2 years2 months,26,9,1,0,1,0,1
19794,Divalproex Sodium,ABBOTT,Depakote CP*,7/11/1990,1/29/2008,1/29/2008,7/29/2009,1 years6 months,18,6,1,0,1,1,0
19796,Mometasone Furoate,MERCK SHARP DOHME,Elocon*,3/30/1989,11/21/2007,5/21/2007,11/21/2007,0 years6 months,6,2,1,0,0,0,0
19798,Triamcinolone Acetonide,SANOFI AVENTIS US,Nasacort*,7/11/1991,1/23/2007,1/23/2007,1/23/2007,0 years0 months,0,1,1,0,0,0,0
19806,Acrivastine; Pseudoephedrine Hydrochloride,AUXILIUM PHARMS LLC,Semprex-D*,3/25/1994,3/26/2008,3/26/2008,3/26/2008,0 years0 months,0,1,1,0,0,0,0
19810,Omeprazole,ASTRAZENECA PHARMS,Prilosec*,9/14/1989,5/10/2019,7/12/2005,5/10/2019,13 years10 months,166,14,1,0,0,0,0
19813,Fentanyl,JANSSEN PHARMS,Duragesic-100 ; Duragesic-75 ; Duragesic-50 ; Duragesic-25 ; Duragesic-12*,8/7/1990,11/20/2006,7/23/2004,11/20/2006,2 years4 months,28,6,1,0,0,0,0
19829,Technetium TC-99M Exametazime Kit,GE HEALTHCARE,Ceretec*,12/30/1988,12/6/2005,12/6/2005,12/6/2005,0 years0 months,0,1,1,0,0,0,0
19832,Mafenide Acetate,MYLAN INSTITUTIONAL,Sulfamylon*,6/5/1998,6/5/2005,6/5/2005,6/5/2005,0 years0 months,0,1,0,1,0,0,0
19833,Ibuprofen,WYETH CONS,Children's Advil*,9/19/1989,5/29/2006,11/29/2005,5/29/2006,0 years6 months,6,2,1,0,0,0,0
19834,Felodipine,ASTRAZENECA,Plendil*,7/25/1991,10/3/2007,4/3/2007,10/3/2007,0 years6 months,6,2,1,0,0,0,0
19835,Cetirizine Hydrochloride,J AND J CONSUMER INC,Zyrtec*,12/8/1995,12/25/2007,10/21/2005,12/25/2007,2 years2 months,26,6,1,0,0,0,0
19839,Sertraline Hydrochloride,PFIZER,Zoloft*,12/30/1991,2/13/2013,8/6/2004,2/13/2013,8 years6 months,102,12,1,0,0,0,0
19842,Ibuprofen,MCNEIL CONSUMER,Motrin*,9/19/1989,6/20/2012,12/20/2011,6/20/2012,0 years6 months,6,2,1,0,0,0,0
19845,Betaxolol Hydrochloride,NOVARTIS,Betoptic S*,12/29/1989,3/27/2007,3/27/2007,12/8/2010,3 years9 months,45,7,1,0,2,1,1
19847,Ciprofloxacin,BAYER HLTHCARE,Cipro*,12/26/1990,9/25/2007,11/10/2004,9/25/2007,2 years10 months,34,8,1,0,0,0,0
19851,Benazepril Hydrochloride,US PHARMS HOLDINGS I,Lotensin*,6/25/1991,9/2/2007,3/2/2007,9/2/2007,0 years6 months,6,2,0,0,0,0,0
19856,Carbidopa; Levodopa,MERCK SHARP DOHME,Sinemet CR*,5/30/1991,6/16/2006,6/16/2006,6/16/2006,0 years0 months,0,2,1,0,0,0,0
19857,Ciprofloxacin,BAYER HLTHCARE,Cipro in Dextrose 5% in Plastic Container*,12/26/1990,3/18/2008,11/10/2004,3/18/2008,3 years4 months,40,8,1,0,0,0,0
19858,Ciprofloxacin,BAYER PHARMS,Cipro in Sodium Chloride 0.9% in Plastic Container*,12/26/1990,3/18/2008,11/10/2004,3/18/2008,3 years4 months,40,6,1,0,0,0,0
19863,Sermorelin Acetate,EMD SERONO,Geref*,12/28/1990,12/28/2004,12/28/2004,12/28/2004,0 years0 months,0,1,1,0,0,0,0
19865,Sotalol Hydrochloride,COVIS PHARMA BV,Betapace*,10/30/1992,4/1/2005,10/1/2004,4/1/2005,0 years6 months,6,2,0,0,0,0,0
19872,Acetaminophen,J AND J CONSUMER INC,Tylenol (Caplet)*,6/8/1994,11/6/2007,7/27/2007,11/6/2007,0 years4 months,4,3,1,0,0,0,0
19880,Carboplatin,CORDEN PHARMA,Paraplatin*,3/3/1989,10/14/2004,10/14/2004,10/14/2004,0 years0 months,0,1,1,0,0,0,0
19881,Butoconazole Nitrate,PERRIGO PHARMA INTL,Gynazole-1*,2/7/1997,11/30/2010,11/30/2010,11/17/2017,7 years0 months,84,3,1,0,1,1,0
19882,Technetium TC-99M Mertiatide Kit,CURIUM,Technescan Mag3,6/15/1990,11/12/2013,11/12/2013,11/12/2013,0 years0 months,0,1,1,0,0,0,0
19884,Mesna,BAXTER HLTHCARE,Mexnex*,12/30/1988,10/6/2013,10/6/2013,10/6/2013,0 years0 months,0,1,1,0,0,0,0
19885,Quinapril Hydrochloride,PFIZER PHARMS,Accupril*,11/19/1991,5/4/2015,4/10/2005,5/4/2015,10 years1 months,121,6,1,0,0,0,0
19891,Hydromorphone Hydrochloride,RHODES PHARMS,Dilaudid,12/7/1992,11/9/2020,11/9/2010,11/9/2020,10 years0 months,120,3,1,0,0,0,0
19892,Hydromorphone Hydrochloride,RHODES PHARMS,Dilaudid,12/7/1992,11/9/2020,11/9/2010,11/9/2020,10 years0 months,120,3,1,0,0,0,0
19898,Pravastatin Sodium,BRISTOL MYERS SQUIBB,Pravachol*,10/31/1991,10/22/2014,12/18/2004,10/22/2014,9 years10 months,118,13,1,0,0,0,0
19901,Ramipril,KING PHARMS LLC,Altace*,1/28/1991,4/4/2012,1/27/2005,8/30/2020,15 years7 months,187,6,1,0,1,1,0
19908,Zolpidem Tartrate,SANOFI AVENTIS US,Ambien*,12/16/1992,10/21/2006,10/21/2006,9/29/2010,3 years11 months,47,5,1,0,2,1,1
19910,Zidovudine,VIIV HLTHCARE,Retrovir*,9/28/1989,9/17/2005,9/17/2005,9/17/2005,0 years0 months,0,4,1,0,0,0,0
19915,Fosinopril Sodium,BRISTOL MYERS SQUIBB,Monopril*,5/16/1991,1/10/2010,5/27/2006,1/10/2010,3 years8 months,44,4,1,0,0,0,0
19922,Fenoldopam Mesylate,HOSPIRA,Corlopam*,9/23/1997,4/1/2007,4/1/2007,4/1/2007,0 years0 months,0,1,0,0,0,0,0
19928,Technetium TC-99M Teboroxime Kit,BRACCO,Cardiotec*,12/19/1990,7/28/2019,11/10/2004,7/28/2019,14 years8 months,176,2,1,0,0,0,0
19940,Masoprocol,UNIV AZ CANCER CTR,Actinex*,9/4/1992,4/17/2008,4/15/2008,4/17/2008,0 years0 months,0,2,1,0,0,0,0
19946,Doxacurium Chloride,ABBVIE,Nuromax*,3/7/1991,3/6/2005,3/6/2005,3/6/2005,0 years0 months,0,1,1,0,0,0,0
19949,Fluconazole,PFIZER,Diflucan*,1/29/1990,7/29/2004,7/29/2004,7/29/2004,0 years0 months,0,1,1,0,0,0,0
19950,Fluconazole,PFIZER,Diflucan in Dextrose 5% in Plastic Container*,1/29/1990,7/29/2004,7/29/2004,7/29/2004,0 years0 months,0,1,1,0,0,0,0
19951,Zidovudine,VIIV HLTHCARE,Retrovir*,2/2/1990,9/17/2005,9/17/2005,9/17/2005,0 years0 months,0,4,1,0,0,0,0
19955,Desmopressin Acetate,FERRING PHARMS INC,DDAVP*,9/6/1995,12/23/2013,9/10/2008,4/30/2023,14 years7 months,175,5,1,0,1,1,0
19961,Gallium Nitrate,CHEPLAPHARM,Ganite*,1/17/1991,1/17/2005,1/17/2005,1/17/2005,0 years0 months,0,1,1,0,0,0,0
19962,Metoprolol Succinate,TOPROL,Toprol-XL*,1/10/1992,9/18/2007,5/22/2007,3/21/2011,3 years10 months,46,34,1,0,3,3,0
19967,Halobetasol Propionate,SUN PHARM INDS INC,Ultravate*,12/27/1990,12/16/2004,12/16/2004,12/16/2004,0 years0 months,0,1,1,0,0,0,0
19968,Halobetasol Propionate,SUN PHARM INDS INC,Ultravate*,12/17/1990,12/16/2004,12/16/2004,12/16/2004,0 years0 months,0,1,1,0,0,0,0
19976,Calcium Acetate,FRESENIUS MEDCL,Phoslo*,12/10/1990,4/7/2007,4/7/2007,4/7/2007,0 years0 months,0,1,1,0,0,0,0
19981,Technetium TC-99M Red Blood Cell Kit,CURIUM,Ultratag*,6/10/1991,7/5/2005,7/5/2005,7/5/2005,0 years0 months,0,1,1,0,0,0,0
19983,Nicotine,AVEVA,Prostep*,1/28/1992,8/7/2007,8/7/2007,8/7/2007,0 years0 months,0,1,1,0,0,0,0
20005,Nicardipine Hydrochloride,CHIESI USA INC,Cardene SR*,2/21/1992,3/30/2010,3/30/2010,3/30/2010,0 years0 months,0,1,1,0,0,0,0
20007,Ondansetron Hydrochloride,NOVARTIS,"Zofran, Zofran Preservative Free*",1/4/1991,12/24/2006,1/25/2005,9/25/2008,3 years8 months,44,10,1,0,1,0,1
20011,Leuprolide Acetate,ABBVIE ENDOCRINE INC,Lupron Depot*,10/22/1990,5/20/2014,11/1/2004,5/20/2014,9 years6 months,114,11,1,0,0,0,0
20013,Lomefloxacin Hydrochloride,PHARMACIA,Maxaquin*,2/21/1992,2/21/2006,2/21/2006,2/21/2006,0 years0 months,0,1,1,0,0,0,0
20021,Pseudoephedrine Hydrochloride,J AND J CONSUMER INC,Efidac 24 Pseudoephedrine HCL*,12/15/1992,3/14/2006,3/14/2006,3/14/2006,0 years0 months,0,1,1,0,0,0,0
