Drug,Patent/ appln.No.,Assignee,Condition(s) Treated,Drug Type,Family,Priority Date,File Date,Publication/Granted/Re-Issued Date,Expiry Date,Status,Patent Type,Description,Before/After FDA Approval,Orange / Purple Book,Google Patents URL
Biktarvy,US20050124584A1,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,1/6/2005,6/9/2005,,Abandoned,Formulation / Combination,The application claimed a pharmaceutical composition comprising a pharmaceutically acceptable excipient and at least 80% by weight the single diastereomer that is tenofovir alafenamide fumarate. ,Before,No,https://patents.google.com/patent/US20050124584A1/en?oq=US20050124584A1
Biktarvy,US20050124585A1,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,1/6/2005,6/9/2005,,Abandoned,Derivative,The application claimed a ucleotide phosphoramidate analog of tenofovir wherein only the amino acid ester group and the phosphonate ester group are variable.,Before,No,https://patents.google.com/patent/US20050124585A1/en?oq=US20050124585A1
Biktarvy,US20050215527A1,Emory University,HIV,Small Molecule,6,2/1/1990,5/9/2005,9/29/2005,,Abandoned,Method of Treatment,"The application claimed a method for treating HIV infection in humans comprising administering an effective amount of emtricitabine,  its derivatives, or salts in a gelatin capsule for oral delivery. ",Before,No,https://patents.google.com/patent/US20050215527A1/en?oq=US20050215527A1
Biktarvy,US20090048190A1,Emory University,HIV,Small Molecule,6,2/1/1990,5/2/2008,2/19/2009,,Abandoned,Formulation / Combination,"The application claimed a pharmaceutical composition comprising an effective amount to treat HIV infection in humans of emtricitabine or or a physiologically acceptable salt thereof, in combination with a second antiviral compound, in a pharmaceutically acceptable carrier.",Before,No,https://patents.google.com/patent/US20090048190A1/en?oq=US20090048190A1
Biktarvy,US20170056424A1,Gilead Sciences,HIV,Small Molecule,8,1/15/2014,10/5/2016,3/2/2017,,Abandoned,Method of Treatment,"The application claimed a method for treating or preventing a viral infection in a human, comprising administering to the human a crystal form, Form I, of tenofovir  (PMPA). ",Before,No,https://patents.google.com/patent/US20170056424A1/en?oq=US20170056424A1
Biktarvy,US5539116A,Emory University,HIV,Small Molecule,1,2/1/1990,2/10/1993,7/23/1996,7/23/2013,Expired,Enantiomer / Stereoisomer,The patent claims cover an enantiomeric form of the compound emtricitabine. ,Before,No,https://patents.google.com/patent/US5539116A/en?oq=US5539116A
Biktarvy,US20210053988A1,Gilead Sciences,HIV,Small Molecule,9,12/21/2012,5/6/2020,2/25/2021,,Pending,Derivative,The application claimed analogs of bictegravir. ,After,No,https://patents.google.com/patent/US20210053988A1/en?oq=US20210053988A1
Biktarvy,US20170197985A1,Gilead Sciences,HIV,Small Molecule,10,6/20/2014,6/19/2015,7/13/2017,,Abandoned,Salt Form,"The application claimed  the sodium salt of bictegravir, crystalline forms and combinations with 1-3 other drugs, pharmaceutical compositions, and the combination with  tenofovir alafenamide hemifumarate and emtricitabine. Compound Patent, and crystal Forms. ",Before,No,https://patents.google.com/patent/US20170197985A1/en?oq=US20170197985A1
Biktarvy,US20170000807A1,Gilead Sciences,HIV,Small Molecule,12,6/30/2015,6/29/2016,1/5/2017,,Abandoned,Formulation / Combination,The application claimed a solid oral dosage form comprising tenofovir alafenamide or a pharmaceutically acceptable salt thereof and emtricitabine or a pharmaceutically acceptable salt thereof,Before,No,https://patents.google.com/patent/US20170000807A1/en?oq=US20170000807A1
Biktarvy,US20180177734A1,Gilead Sciences,HIV,Small Molecule,12,6/30/2015,6/29/2016,6/28/2018,,Abandoned,Formulation / Combination,The application claimed a solid oral dosage form comprising tenofovir alafenamide or a pharmaceutically acceptable salt thereof and emtricitabine or a pharmaceutically acceptable salt thereof.,Before,No,https://patents.google.com/patent/US20180177734A1/en?oq=US20180177734A1
Biktarvy,US20210052502A1,Gilead Sciences,HIV,Small Molecule,13,11/9/2015,8/6/2020,2/25/2021,,Abandoned,Method of Production / Process,The application claimed a method of producing a multilayer tablet comprising the compound bictegravir and tenofovir alafenamideseparately to form a bilayer tablet ,After,No,https://patents.google.com/patent/US20210052502A1/en?oq=US20210052502A1
Biktarvy,US20190233448A1,Gilead Sciences,HIV,Small Molecule,14,1/31/2017,3/21/2019,8/1/2019,,Pending,Salt Form,"The application claims tenofovir alafenamide hemipamoate, its crystalline Form 2, pharmaceutical  compositions and a method for treating a virus.  ",After,No,https://patents.google.com/patent/US20190233448A1/en?oq=US20190233448A1
Biktarvy,US20170027967A1,Gilead Sciences,HIV,Small Molecule,17,6/30/2015,6/28/2016,2/2/2017,,Abandoned,Formulation / Combination,"The application claimed a solid oral dosage form comprising rilpivirine or a pharmaceutically acceptable salt thereof, tenofovir alafenamide or a pharmaceutically acceptable salt thereof, and emtricitabine or a pharmaceutically acceptable salt thereof. ",Before,No,https://patents.google.com/patent/US20170027967A1/en?oq=US20170027967A1
Biktarvy,US5814639A,Emory University,HIV,Small Molecule,1,2/1/1990,2/16/1993,9/29/1998,9/29/2015,Expired,Main Compound,The patent claims cover the basic compound emtricitabine,Before,No,https://patents.google.com/patent/US5814639A/en?oq=US5814639A
Biktarvy,US20150368264A1,Gilead Sciences,HIV,Small Molecule,20,6/20/2014,6/16/2015,12/24/2015,,Abandoned,Method of Production / Process,The application claimed  processes and intermediate compounds for synthesizing bictegravir.,Before,No,https://patents.google.com/patent/US20150368264A1/en?oq=US20150368264A1
Biktarvy,US20180085387A1,Gilead Sciences,HIV,Small Molecule,21,9/27/2016,9/26/2017,3/29/2018,,Abandoned,Formulation / Combination,"The application claimed a solid oral dosage form comprising bictegravir, darunavir, cobicistat, and an unnamed phosphoramidate prodrug of a dehydroadenosine for treating HIV. ",Before,No,https://patents.google.com/patent/US20180085387A1/en?oq=US20180085387A1
Biktarvy,US20210393631A1,Gilead Sciences,HIV,Small Molecule,23,9/19/2018,9/18/2019,12/23/2021,,Pending,Method of Treatment,"The application claims a method of preventing an HIV infection in a subject, comprising administering to the subject bictegravir, or a pharmaceutically acceptable salt thereof. including with up to 3 additional compounds.",After,No,https://patents.google.com/patent/US20210393631A1/en?oq=US20210393631A1
Biktarvy,US20180153887A1,Gilead Sciences,HIV,Small Molecule,26,7/12/2013,6/9/2017,6/7/2018,,Abandoned,Derivative,"The application claimed analogs of bictegravir, pharmaceutical compositions and methods of treatment.",Before,No,https://patents.google.com/patent/US20180153887A1/en?oq=US20180153887A1
Biktarvy,US20190046526A1,Gilead Sciences,HIV,Small Molecule,26,7/12/2013,1/10/2018,2/14/2019,,Abandoned,Derivative,"The application claimed  analogs of bictegravir, pharmaceutical compositions and methods of treatment.",Before,No,https://patents.google.com/patent/US20190046526A1/en?oq=US20190046526A1
Biktarvy,US5914400A,Emory University,HIV,Small Molecule,1,2/1/1990,6/7/1995,6/22/1999,6/22/2016,Expired,Method of Production / Process,"The patent claims cover a process for preparing emtricitabine, including intermediates. ",Before,No,https://patents.google.com/patent/US5914400A/en?oq=US5914400A
Biktarvy,US5914331A,Emory University,HIV,Small Molecule,6,2/1/1990,6/7/1995,6/22/1999,7/2/2017,Expired,Derivative,The patent claims cover prodrug derivatives and phosphorylated metabolites of emtricitabine. ,Before,No,https://patents.google.com/patent/US5914331A/en?oq=US5914331A
Biktarvy,US6114343A,Emory University,HIV,Small Molecule,1,2/1/1990,6/7/1995,9/5/2000,9/5/2017,Expired,Formulation / Combination,"The patent claims cover a pharmaceutical composition comprising emtricitabine as a single enantiomer and in mono-, di-, tri-phosphate forms ",Before,No,https://patents.google.com/patent/US6114343A/en?oq=US6114343A
Biktarvy,US6642245B1,Emory University,HIV,Small Molecule,6,2/1/1990,6/7/1995,11/4/2003,4/11/2020,Expired,Method of Treatment,"The patent claims cover a method for treating HIV infection in humans comprising administering an effective amount of emtricitabineor its physiologically acceptable salt, optionally in a pharmaceutically acceptable carrier.",Before,No,https://patents.google.com/patent/US6642245B1/en?oq=US6642245B1
Biktarvy,US7803788B2,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,4/28/2008,9/28/2010,2/2/2022,Expired,Method of Treatment,The patent claims cover a method for antiviral therapy by administering a therapeutically effective amount of a diastereomerically enriched form of the prodrug tenofovir alafenamide fumarate  and a number of phosphoramidate analogs. ,Before,Yes,https://patents.google.com/patent/US7803788B2/en?oq=US7803788B2
Biktarvy,US6703396,Emory University,HIV,Small Molecule,7,2/1/1990,3/13/1995,3/9/2004,10/12/2022,Expired,Enantiomer / Stereoisomer,"The patent claims cover The (-)-enantiomer of emtricitabine and acyl- or alkyl-derivatives thereof. Also claims mono/di/tri phosphate forms (metabolites), and pharmaceutical compositions including for iv administration. ",Before,No,https://patents.google.com/patent/US6703396B1/en?oq=US6703396
Biktarvy,US8592397B2,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,8/20/2008,11/26/2013,1/13/2024,Active,Formulation / Combination,The patent claims cover a chemically stable fixed dose combination pharmaceutical dosage form comprising 300 mg tenofovir disoproxil fumarate and 200 mg emtricitabine.,Before,No,https://patents.google.com/patent/US8592397B2/en?oq=US8592397B2
Biktarvy,US8716264B2,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,9/4/2008,5/6/2014,1/13/2024,Active,Formulation / Combination,The patent claims cover a chemically stable fixed-dose combination comprising 300 mg of tenofovir disoproxil fumarate and 200 mg of emtricitabine wherein the combination exhibits less than 10% degradation of the tenofovir disoproxil fumarate and emtricitabine after six months at 40° C./75% relative humidity when packaged and stored with silica gel desiccant at 40° C./70% relative humidity. ,Before,No,https://patents.google.com/patent/US8716264B2/en?oq=US8716264B2
Biktarvy,US9744181B2,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,10/24/2014,8/29/2017,1/13/2024,Active,Formulation / Combination,"The patent claims cover a fixed-dose combination comprising 300 mg of tenofovir disoproxil fumarate and 200 mg of emtricitabine wherein the combination exhibits equal to or less than 5% degradation of the tenofovir disoproxil fumarate and emtricitabine after six months at 40° C./75% relative humidity when packaged and stored with silica gel desiccant, and wherein the fixed-dose combination is a tablet. ",Before,No,https://patents.google.com/patent/US9744181B2/en?oq=US9744181B2
Biktarvy,US9457036B2,Gilead Sciences,HIV,Small Molecule,3,1/14/2003,10/24/2014,10/4/2016,3/12/2024,Active,Formulation / Combination,The patent claims cover a fixed dose combination containing 300 mg of ftenofovir disoproxil fumarate and and 200 mg of emtricitabine.,Before,No,https://patents.google.com/patent/US9457036B2/en?oq=US9457036B2
Biktarvy,US7390791B2,Gilead Sciences,HIV,Small Molecule,4,7/21/2000,3/11/2004,6/24/2008,4/17/2025,Active,Derivative,The patent claims cover the diastereomerically enriched form of the prodrug tenofovir alafenamide fumarate  and a number of phosphoramidate analogs. ,Before,Yes,https://patents.google.com/patent/US7390791B2/en?oq=US7390791B2
Biktarvy,US8754065B2,Gilead Sciences,HIV,Small Molecule,5,8/16/2011,8/15/2012,6/17/2014,8/15/2032,Active,Salt Form,"The patent claims cover tenofovir alafenamide hemifumarate,  a crystalline form, compositions and methods of treating an HIV infection. ",Before,Yes,https://patents.google.com/patent/US8754065B2/en?oq=US8754065B2
Biktarvy,US9296769B2,Gilead Sciences,HIV,Small Molecule,5,8/16/2011,3/5/2014,3/29/2016,8/15/2032,Active,Formulation / Combination,"The patent claims cover a composition comprising tenofovir alafenamide hemifumarate, wherein the composition comprises less than about 5% by weight of tenofovir alafenamide monofumarate. ",Before,Yes,https://patents.google.com/patent/US9296769B2/en?oq=US9296769B2
Biktarvy,US8664386B2,Gilead Sciences,HIV,Small Molecule,25,10/7/2011,10/3/2012,3/4/2014,10/3/2032,Active,Method of Production / Process,The patent claims cover a process for the method of selective crystallization of tenofovir alafenamide fumarate. ,Before,No,https://patents.google.com/patent/US8664386B2/en?oq=US8664386B2
Biktarvy,US9029534B2,Gilead Sciences,HIV,Small Molecule,25,10/7/2011,1/14/2014,5/12/2015,10/3/2032,Active,Method of Production / Process,"The patent claims cover a diastereoselective process for making tenofovir alafenamide fumarate.

",Before,No,https://patents.google.com/patent/US9029534B2/en?oq=US9029534B2
Biktarvy,US9346841B2,Gilead Sciences,HIV,Small Molecule,25,10/7/2011,4/8/2015,5/24/2016,10/3/2032,Active,Method of Production / Process,"The patent claims cover a diastereoselective process for making tenofovir alafenamide fumarate
",Before,No,https://patents.google.com/patent/US9346841B2/en?oq=US9346841B2
Biktarvy,US9676804B2,Gilead Sciences,HIV,Small Molecule,25,10/7/2011,4/21/2016,6/13/2017,10/3/2032,Active,Method of Production / Process,The patent claims cover a process  of preparing the mono-phenoxy ester of tenofovir (PMPA),Before,No,https://patents.google.com/patent/US9676804B2/en?oq=US9676804B2
Biktarvy,US9216996B2,Gilead Sciences,HIV,Small Molecule,9,12/21/2012,12/19/2013,12/22/2015,12/19/2033,Active,Main Compound,"The patent claims cover the base compound bictegravir, its stereoisomers and pharmaceutical compositions.",Before,Yes,https://patents.google.com/patent/US9216996B2/en?oq=US9216996B2
Biktarvy,US9732092B2,Gilead Sciences,HIV,Small Molecule,9,12/21/2012,11/11/2016,8/15/2017,12/19/2033,Active,Main Compound,The patent claims cover the base compound bictegravir and a large number of related analogs. ,Before,Yes,https://patents.google.com/patent/US9732092B2/en?oq=US9732092B2
Biktarvy,US10035809B2,Gilead Sciences,HIV,Small Molecule,9,12/21/2012,5/18/2017,7/31/2018,12/19/2033,Active,Derivative,The patent claims cover analogs of bictegravir. ,Before,No,https://patents.google.com/patent/US10035809B2/en?oq=US10035809B2
Biktarvy,US10689399B2,Gilead Sciences,HIV,Small Molecule,9,12/21/2012,6/25/2018,6/23/2020,12/19/2033,Active,Derivative,The patent claims cover analogs of the compound bictegravir.,After,No,https://patents.google.com/patent/US10689399B2/en?oq=US10689399B2
Biktarvy,US9663528B2,Gilead Sciences,HIV,Small Molecule,9,12/21/2012,7/31/2015,5/30/2017,2/19/2034,Active,Enantiomer / Stereoisomer,The patent claims cover stereoisomers of the compound bictegravir and a pharamceutical composition. ,Before,No,https://patents.google.com/patent/US9663528B2/en?oq=US9663528B2
Biktarvy,US9421214B2,Gilead Sciences,HIV,Small Molecule,26,7/12/2013,7/11/2014,8/23/2016,7/11/2034,Active,Derivative,The patent claims cover analogs of bictegravir to treat HIV. ,Before,No,https://patents.google.com/patent/US9421214B2/en?oq=US9421214B2
Biktarvy,US9700554B2,Gilead Sciences,HIV,Small Molecule,26,7/12/2013,7/12/2016,7/11/2017,7/11/2034,Active,Method of Treatment,The patent claims cover a method  of treating an HIV infection in a human having or at risk of having an HIV infection by administering to the human a therapeutically effective amount of certain analogs of bictegravir.,Before,No,https://patents.google.com/patent/US9700554B2/en?oq=US9700554B2
Biktarvy,US10668064B2,Gilead Sciences,HIV,Small Molecule,26,7/12/2013,8/2/2018,6/2/2020,7/11/2034,Active,Derivative,The patent claims cover analogs of bictegravir and pharmaceutical compositions,After,No,https://patents.google.com/patent/US10668064B2/en?oq=US10668064B2
Biktarvy,US9487546B2,Gilead Sciences,HIV,Small Molecule,8,1/15/2014,1/9/2015,11/8/2016,1/9/2035,Active,Crystalline,The patent claims cover a crystal form of the compound tenofovir (PMPA).  ,Before,No,https://patents.google.com/patent/US9487546B2/en?oq=US9487546B2
Biktarvy,US10519168B2,Gilead Sciences,HIV,Small Molecule,20,6/20/2014,6/30/2017,12/31/2019,6/16/2035,Active,Method of Production / Process,The patent claims cover a process for intermediate steps for preparing bictegravir.,Before,No,https://patents.google.com/patent/US10519168B2/en?oq=US10519168B2
Biktarvy,US10975096B2,Gilead Sciences,HIV,Small Molecule,20,6/20/2014,11/18/2019,4/13/2021,6/16/2035,Active,Method of Production / Process,The patent claims covers a process for making  intermediate compounds for synthesizing bictegravir.,After,No,https://patents.google.com/patent/US10975096B2/en?oq=US10975096B2
Biktarvy,US9708342B2,Gilead Sciences,HIV,Small Molecule,10,6/20/2014,6/19/2015,7/18/2017,6/19/2035,Active,Salt Form,"The patent claims cover the sodium salt of bictegravir, crystalline Forms 1 and 2, hydrates, anhydrous forms and combinations with 1-3 other drugs, pharmaceutical compositions, and the combination with  tenofovir alafenamide hemifumarate and emtricitabine.",Before,Yes,https://patents.google.com/patent/US9708342B2/en?oq=US9708342B2
Biktarvy,US10385067B2,Gilead Sciences,HIV,Small Molecule,10,6/20/2014,6/15/2017,8/20/2019,6/19/2035,Active,Method of Treatment,"The patent claims cover a method for treating an HIV infection in a human in need thereof, comprising administering to the human a therapeutically effective amount of a compound the crystal Form I of bictegravir and in combination with tenofovir alafenamide hemifumarate and emtricitabine to treat HIV.",Before,Yes,https://patents.google.com/patent/US10385067B2/en?oq=US10385067B2
Biktarvy,US9682084B2,Gilead Sciences,HIV,Small Molecule,19,6/20/2014,6/19/2015,6/20/2017,6/19/2035,Active,Crystalline,"The patent claims cover a crystalline form 1 of bictegravir and combinations with other HIV drugs including tenofovir disoproxil fumarate, tenofovir alafenamide, tenofovir alafenamide hemifumarate and emtricitabine.",Before,No,https://patents.google.com/patent/US9682084B2/en?oq=US9682084B2
Biktarvy,US10098886B2,Gilead Sciences,HIV,Small Molecule,19,6/20/2014,5/5/2017,10/16/2018,6/19/2035,Active,Method of Treatment,"The patent claims cover method for treating an HIV infection in a human in need thereof, comprising administering to the human a therapeutically effective amount of a crystalline Form 1 of bictegravir and in combination with tenofovir alafenamide fumarate and emtricitabine.",Before,No,https://patents.google.com/patent/US10098886B2/en?oq=US10098886B2
Biktarvy,US11202780,Gilead Sciences,HIV,Small Molecule,19,6/20/2014,1/10/2020,12/21/2021,6/19/2035,Active,Crystalline,The patent claims covers crystalline Form III of bictegravir,After,No,https://patents.google.com/patent/US11202780B2/en?oq=US11202780
Biktarvy,US9777028B2,Gilead Sciences,HIV,Small Molecule,11,6/17/2015,6/13/2016,10/3/2017,6/13/2036,Active,Crystalline,"The patent claims cover a solvate of tenofovir alafenamide sesquifumarate, wherein the solvate comprises a solvent selected from the group consisting of isopropanol, methyl ethyl ketone, tetrahydrofuran and acetone.",Before,No,https://patents.google.com/patent/US9777028B2/en?oq=US9777028B2
Biktarvy,US10155781B2,Gilead Sciences,HIV,Small Molecule,11,6/17/2015,9/5/2017,12/18/2018,6/13/2036,Active,Crystalline,"The patent claims cover  crystalline forms of tenofovir alafenamide saccharin, tenofovir alafenamide mucate, tenofovir alafenamide ethanesulfate, tenofovir alafenamide benzensulfonate, tenofovir alafenamide methanesulfonate and tenofovir alafenamide sulfate",Before,No,https://patents.google.com/patent/US10155781B2/en?oq=US10155781B2
Biktarvy,US10548846,Gilead Sciences,HIV,Small Molecule,13,11/9/2015,11/8/2016,2/4/2020,11/8/2036,Active,Formulation / Combination,"The patent claims cover a multilayer tablet comprising 50 mg of the compound bictegravir, 25 mg tenofovir alafenamide, and 200 mg of emtricitabine.",Before,Yes,https://patents.google.com/patent/US10548846B2/en?oq=US10548846
Biktarvy,US10287307B2,Gilead Sciences,HIV,Small Molecule,14,1/31/2017,1/29/2018,5/14/2019,1/29/2038,Active,Crystalline,The patent claims cover a crystalline tenofovir alafenamide sebacate Form I and its method of use by subcutaneous injection in a long-acting depot formulation. ,Before,No,https://patents.google.com/patent/US10287307B2/en?oq=US10287307B2
Biktarvy,US11253524B2,Gilead Sciences,HIV,Small Molecule,22,1/19/2018,1/18/2019,2/22/2022,1/18/2039,Active,Derivative,The patent claims cover metabolite analogs of bictegravir.,After,No,https://patents.google.com/patent/US11253524B2/en?oq=US11253524B2
Eliquis,"US 2004038980A1
",Bristol-Myers Squibb,Stroke/ Embolism,Small Molecule,1,12/23/1998,8/15/2003,2/26/2004,,Abandoned,Main Compound,"The patent application claimed a broad set of compounds including encompassing  the active ingredient apixaban, which is used in the product Eliquis, as well as pharmaceutical compositions and salt forms, and methods of treating thromboembolic disorders.",Before,No,https://patents.google.com/patent/US20040038980A1/en?oq=US+2004038980A1
Eliquis,"US 20050261287 A1
",Bristol-Myers Squibb,Stroke/ Embolism,Small Molecule,2,9/21/2001,6/16/2005,11/24/2005,,Abandoned,Main Compound,"The patent applications claimed a broad set of compounds including encompassing  the active ingredient apixaban, which is used in the product Eliquis, as well as pharmaceutical compositions and salt forms, and methods of treating thromboembolic disorders.",Before,No,https://patents.google.com/patent/US20050261287A1/en?oq=US+20050261287+A1
Eliquis,US 20070191306 A1,Bristol-Myers Squibb,Stroke/ Embolism,Small Molecule,5,8/17/2005,8/15/2006,8/16/2007,,Abandoned,Formulation / Combination,The patent application claimed oral and injectable formulations comprising apixaban and beta-cyclodextrin ,Before,No,https://patents.google.com/patent/US20070191306A1/en?oq=US+20070191306+A1
Eliquis,"US20070027186 A1
",Bristol-Myers Squibb,Stroke/ Embolism,Small Molecule,3,12/10/2001,9/7/2006,2/1/2007,,Abandoned,Method of Production / Process,The patent application claimed intermediate compounds for making apixaban (Eliquis),Before,No,https://patents.google.com/patent/US20070027186A1/en?oq=US20070027186+A1
Eliquis,"US 20070203178 A1
",Bristol-Myers Squibb,Stroke/ Embolism,Small Molecule,4,9/28/2004,2/23/2007,8/30/2007,,Abandoned,Crystalline,The patent application claimed crystalline solvates of apixaban (Eliquis). ,Before,No,https://patents.google.com/patent/US20070203178A1/en?oq=US+20070203178+A1
Eliquis,US 20080026447 A1,Bristol-Myers Squibb,Stroke/ Embolism,Small Molecule,7,4/20/2006,4/19/2007,1/31/2008,,Abandoned,Method of Treatment,The patent application claimed a method and kit for determining the concentration of a factor VIIa inhibitor in a plasma sample. ,Before,No,https://patents.google.com/patent/US20080026447A1/en?oq=US+20080026447+A1
Eliquis,US 20070259913 A1,Bristol-Myers Squibb,Stroke/ Embolism,Small Molecule,6,5/4/2006,5/4/2007,11/8/2007,,Abandoned,Method of Treatment,The patent application claimed method of prophylaxis of thrombotic and thromboembolic events in a cancer patient  by administering apixaban (Eliquis) or a polymorph or pharmaceutically acceptable solvate form ,Before,No,https://patents.google.com/patent/US20070259913A1/en?oq=US+20070259913+A1
